行け。 	 Go.
了解。 	 I got it.
辞職します。 	 I resign.
あくびをした。 	 I yawned.
僕が払っとこう。 	 I'll pay.
私が払います。 	 I'll pay.
頑張ってみる。 	 I'll try.
やってみる。 	 I'll try.
私は忙しい。 	 I'm busy.
俺はクールだ。 	 I'm cool.
私は公平だ。 	 I'm fair.
私は元気です。 	 I'm fine.
暇ですよ。 	 I'm free.
手は空いていますよ。 	 I'm free.
もう満腹です。 	 I'm full.
お腹いっぱいだ。 	 I'm full.
道に迷ってしまった。 	 I'm lost.
私は貧乏です。 	 I'm poor.
私は背が高い。 	 I'm tall.
私は大丈夫です。 	 I'm well.
痛い。 	 It hurts.
それは新しいです。 	 It's new.
お茶です。 	 It's tea.
放っておけ。 	 Leave it.
やめておけ。 	 Leave it.
さあ、行くぞ。 	 Let's go!
危ない! 	 Look out!
もう止めて！ 	 Now stop!
立ちなさい。 	 Stand up!
立ちなさい。 	 Stand up.
トムを止めるんだ。 	 Stop Tom.
トムに伝えて。 	 Tell Tom.
素晴らしい！ 	 Terrific!
トムが来た。 	 Tom came.
トムは落ちた。 	 Tom fell.
トムはさった。 	 Tom left.
トムは嘘をつく。 	 Tom lies.
トムは払った。 	 Tom paid.
トムは泳いだ。 	 Tom swam.
トムは泣きました。 	 Tom wept.
遅すぎる。 	 Too late.
信じてくれよ。 	 Trust me.
精一杯やってみなさい。 	 Try hard.
トムに警告します。 	 Warn Tom.
トムに警告してください。 	 Warn Tom.
意見が一致している。 	 We agree.
何に使うの？ 	 What for?
誰が来ましたか？ 	 Who came?
誰がやめるの？ 	 Who quit?
お先にどうぞ。 	 After you.
家に電話して！ 	 Call home!
落ちついて。 	 Calm down!
落ち着け！ 	 Calm down!
落ち着けよ。 	 Calm down.
落ちつけよ。 	 Calm down.
落ちついて。 	 Calm down.
頭を冷やせ。 	 Calm down.
落ち着いて！ 	 Calm down.
彼を捕まえろ。 	 Catch him.
戻っておいで。 	 Come back.
こちらに来なさい。 	 Come here.
ここへ来なさい！ 	 Come here.
こっちに来いよ。 	 Come here.
こっちおいで。 	 Come here.
家に来いよ。 	 Come home.
帰ってこい。 	 Come home.
私の家に来て下さい。 	 Come over!
遊びに来いよ！ 	 Come over!
すぐ来て。 	 Come soon.
頭を冷やせ。 	 Cool down.
今すぐそれをやりなさい。 	 Do it now.
聞かないでくれ。 	 Don't ask.
死なないで。 	 Don't die.
失礼しました。 	 Excuse me.
すみません。 	 Excuse me.
すごいぞ！ 	 Fantastic!
素晴らしい！ 	 Fantastic!
ついてきて。 	 Follow me.
忘れて。 	 Forget it.
もう寝なさい。 	 Go to bed.
頑張れよ。 	 Good luck.
触るな！ 	 Hands off.
彼はＤＪです。 	 He's a DJ.
５ドルをやる。 	 Here's $5.
ああ恐い！ 	 How awful!
トムの機嫌をとれ。 	 Humor Tom.
お腹がいっぱいです。 	 I am full.
ここにいるよ。 	 I am here.
確かだよ。 	 I am sure.
私は背が高い。 	 I am tall.
私はスキーの仕方を知っています。 	 I can ski.
私の負けだ。 	 I give in.
お手上げだ。 	 I give up.
楽しかった。 	 I had fun.
持っています。 	 I have it.
そうだといいけど。 	 I hope so.
私は笑ってしまった。 	 I laughed.
それ好き。 	 I like it.
本気だよ。 	 I mean it!
私は彼に会った。 	 I met him.
私は気づいた。 	 I noticed.
僕はリラックスした。 	 I relaxed.
違うってば。 	 I said no.
そう言っておいたはずだ。 	 I said so.
彼を見た。 	 I saw him.
これが欲しい。 	 I want it.
行くよ。 	 I will go.
私は同意するだろう。 	 I'd agree.
私は手伝うよ。 	 I'll help.
私は通ります。 	 I'll pass.
僕、男だよ。 	 I'm a boy.
一人だ。 	 I'm alone.
目は覚めています。 	 I'm awake.
退屈しちゃったよ。 	 I'm bored.
文無しなんだ。 	 I'm broke.
私は潔白だ。 	 I'm clean.
くらくらする。 	 I'm dizzy.
酔った。 	 I'm drunk.
早かった。 	 I'm early.
私は几帳面なんだ。 	 I'm fussy.
私は幸福です。 	 I'm happy.
私は幸せです。 	 I'm happy.
準備ができました。 	 I'm ready.
私って冴えてる！ 	 I'm smart.
悪かった。 	 I'm sorry.
御免なさい。 	 I'm sorry.
疲れているんだ。 	 I'm tired.
疲れたよ。 	 I'm tired.
私は疲れた。 	 I'm tired.
疲れたー。 	 I'm tired.
僕は若い。 	 I'm young.
トムいる？ 	 Is Tom in?
そこって遠いですか？ 	 Is it far?
熱い？ 	 Is it hot?
それって、新品なの？ 	 Is it new?
超臭いよ。 	 It stinks.
うまく行った！ 	 It worked.
３時半です。 	 It's 3:30.
９時１５分です。 	 It's 9:15.
寒っ！ 	 It's cold.
楽勝だよ。 	 It's easy.
それは無料です。 	 It's free.
もう遅いわよ。 	 It's late.
それ、私のです。 	 It's mine.
本当ですよ。 	 It's true.
飛び降りろ！ 	 Jump down.
下がってて。 	 Keep back.
すぐ出発しなさい。 	 Leave now.
私に行かせてください。 	 Let me go!
中に入れて。 	 Let me in.
私も入れてください。 	 Let me in.
食べましょう。 	 Let's eat.
よく聞きなさい。 	 Listen up.
食べてもいいですか？ 	 May I eat?
もちろん！ 	 Of course!
もちろんだよ！ 	 Of course.
もちろん！ 	 Of course.
撃て！ 	 Open fire!
静かに！ 	 Pipe down!
静かに！ 	 Pipe down.
これを読みなさい。 	 Read this.
「アー」といってください。 	 Say "aah."
前述参照のこと。 	 See above.
本気？ 	 Seriously?
彼女は試した。 	 She tried.
ここでサインして。 	 Sign here.
ちゃんと座ってろ。 	 Sit tight.
近づくな！ 	 Stay away.
落ち着いて。 	 Stay calm.
静かにしてなさい。 	 Stay calm.
家にいなさい。 	 Stay home.
下がって。 	 Step back.
やめろ！ 	 Stop that!
やめろ！ 	 Stop that.
気を付けてね。 	 Take care!
気をつけて！ 	 Take care!
気を付けてね。 	 Take care.
お気をつけて。 	 Take care.
私のをどうぞ。 	 Take mine.
これにしなよ。 	 Take this.
すみません。 	 Thank you.
ありがとう。 	 Thank you.
ありがとうございます。 	 Thank you.
それでいいよ。 	 That's OK.
そういうこと。 	 That's it.
彼らは去った。 	 They left.
彼らは負けた。 	 They lost.
時間終了。 	 Time's up.
トムはお辞儀をした。 	 Tom bowed.
トムは涙を流した。 	 Tom cried.
トムは飲んだ。 	 Tom drank.
トムは編み物をする。 	 Tom knits.
トムは動いた。 	 Tom moved.
トムは寝ていた。 	 Tom slept.
トムは話した。 	 Tom spoke.
トムは挑戦した。 	 Tom tried.
トムは挑戦する。 	 Tom tries.
トムは手をふった。 	 Tom waved.
もう一度やってみて。 	 Try again.
左に曲がって。 	 Turn left.
ここで待って。 	 Wait here.
気をつけて！ 	 Watch out!
成功だ！ 	 We did it!
忘れた。 	 We forgot.
僕らは待った。 	 We waited.
僕らは恥ずかしがり屋です。 	 We're shy.
お見事！ 	 Well done!
上出来！ 	 Well done!
よくやった！ 	 Well done.
何が起こったんだ？ 	 What's up?
彼は誰？ 	 Who is he?
どなた？ 	 Who is it?
誰にも分からないよ。 	 Who knows?
誰が行くの？ 	 Who'll go?
彼女は誰ですか。 	 Who's she?
素晴らしい！ 	 Wonderful!
君が運転して。 	 You drive.
ご乗車願います！ 	 All aboard!
私の言ってること、わかります？ 	 Am I clear?
私、正しい？ 	 Am I right?
１８歳ですか？ 	 Are you 18?
大丈夫？ 	 Are you OK?
起きてる？ 	 Are you up?
気を付けてね。 	 Be careful!
用心しなさい。 	 Be careful.
気をつけて！ 	 Be careful.
辛抱しなさい。 	 Be patient.
真面目におやり。 	 Be serious.
鳥が囀る。 	 Birds sing.
乾杯！ 	 Bottoms up!
手伝おうか。 	 Can I help?
これ運んで。 	 Carry this.
一つ選んで。 	 Choose one.
さあ、一緒に来いよ。 	 Come along.
私達と一緒に来なさい。 	 Come along.
さあ、入って入って。 	 Come on in!
早く来い。 	 Come quick!
早くいらっしゃい。 	 Come quick!
やめなさい。 	 Cut it out!
いい加減にしろよ。 	 Cut it out.
混ぜて。 	 Deal me in.
もちろん！ 	 Definitely!
勝った？ 	 Did we win?
入って。 	 Do come in.
来ないで。 	 Don't come.
動かないで！ 	 Don't move!
動くな！ 	 Don't move!
動かないで。 	 Don't move.
やめちゃダメ。 	 Don't quit.
黙っていなさい。 	 Don't talk!
待つな。 	 Don't wait.
満タンにしてください。 	 Fill it up.
火は燃える。 	 Fire burns.
彼の事は忘れなさい。 	 Forget him.
お許しを。 	 Forgive us.
ベッドへいけ。 	 Get to bed.
帰りなさい。 	 Go on home.
仕事に行きなさい。 	 Go to work.
神は存在する。 	 God exists.
彼は外食した。 	 He ate out.
彼は降参した。 	 He gave up.
彼はＤＪです。 	 He is a DJ.
いい人です。 	 He is kind.
彼は尻が重い。 	 He is lazy.
いい人です。 	 He is nice.
彼は笑った。 	 He laughed.
彼は一文なしだ。 	 He's broke.
彼は嘘をついている。 	 He's lying.
彼は頭がいい。 	 He's smart.
こんにちは、トム。 	 Hello, Tom.
上がるの手伝って。 	 Help me up.
立ち上がるの手伝って。 	 Help me up.
はいどうぞ。 	 Here it is.
さあ、行くぞ。 	 Here we go.
じっとしてて。 	 Hold still.
かわいい！ 	 How lovely!
仕事はどう？ 	 How's work?
急いで戻れ。 	 Hurry back.
それは認める。 	 I admit it.
俺は人間だ。 	 I am a man.
私は幸せだ。 	 I am happy.
私は覚悟ができている。 	 I am ready.
私が壊した。 	 I broke it.
私は読むことができます。 	 I can read.
歌が歌える。 	 I can sing.
私は泳げます。 	 I can swim.
待てます。 	 I can wait.
歩ける。 	 I can walk.
私は行けません。 	 I can't go.
そうは思いません。 	 I disagree.
私はそれを疑った。 	 I doubt it.
私はここで食べます。 	 I eat here.
あの子が羨ましい。 	 I envy her.
羨ましい！ 	 I envy him.
羨ましい！ 	 I envy you.
私は気分が悪い。 	 I feel bad.
見つかったよ。 	 I found it.
忙しくなった。 	 I got busy.
悪酔いしました。 	 I got sick.
私はトムが嫌いだ。 	 I hate Tom.
彼を手伝ってます。 	 I help him.
トムは知っている。 	 I know Tom.
トムは好きだ。 	 I like Tom.
彼が好きです。 	 I like him.
俺、パイが好きなんだよ。 	 I like pie.
君のことが好きなんだ。 	 I like you.
気に入りました。 	 I liked it.
彼女に恋している。 	 I love her.
彼女のことが好きだ。 	 I love her.
愛してる。 	 I love you.
君のことが好きなんだ。 	 I love you.
私はあなたを愛しています。 	 I love you.
会えなくて淋しい。 	 I miss you.
走ったほうがよさそうだ。 	 I must run.
私にはトムが必要です。 	 I need Tom.
あなたが必要なんです。 	 I need you.
私は約束した。 	 I promised.
そう思いますよ。 	 I think so.
そうだと思う。 	 I think so.
傷ついた。 	 I was hurt.
私は無礼だった。 	 I was rude.
私は弱かった。 	 I was weak.
やってみる。 	 I will try.
運動します。 	 I work out.
大丈夫です。 	 I'll be OK.
私がちゃんとやりますから。 	 I'll do it.
私が中に入る。 	 I'll go in.
私は双子です。 	 I'm a twin.
貧血なんです。 	 I'm anemic.
私は公平ではない。 	 I'm biased.
今、行くわ。 	 I'm coming.
いま行くよ。 	 I'm coming.
今食事中。 	 I'm eating.
ほんとだってば。 	 I'm honest.
ああ、お腹が空いた。 	 I'm hungry!
腹が減った。 	 I'm hungry!
おなか空いた！ 	 I'm hungry.
お腹が減った。 	 I'm hungry.
腹減った。 	 I'm hungry.
淋しいです。 	 I'm lonely.
心細いの。 	 I'm lonely.
疲れたー。 	 I'm pooped.
独身です。 	 I'm single.
眠い！ 	 I'm sleepy.
僕はすごく太ってる。 	 I'm so fat.
私は30才です。 	 I'm thirty.
食べた。 	 I've eaten.
トムって、楽しい人？ 	 Is Tom fun?
トム怒ってるかな？ 	 Is Tom mad?
彼は忙しいですか。 	 Is he busy?
出来上がった？ 	 Is it done?
無料なのですか。 	 Is it free?
時間なの？ 	 Is it time?
そうなんですか？ 	 Is that so?
これでいい？ 	 Is this OK?
これで問題ない？ 	 Is this OK?
安いね。 	 It's cheap.
それは虚しいね。 	 It's empty.
俺のＣＤじゃねえか。 	 It's my CD.
僕のおごりですよ。 	 It's on me.
妙だな。 	 It's weird.
風が強いな。 	 It's windy.
いいからやれよ。 	 Just do it.
そのまま続けて。 	 Keep going.
その調子でがんばって。 	 Keep it up!
静かにしていなさい。 	 Keep quiet!
じっとしてて。 	 Keep still.
当てにしていいよ。 	 Lean on me.
中に入れてあげて。 	 Let him in.
中に入ってもらって。 	 Let him in.
出してくれ。 	 Let me out!
払わせてください。 	 Let me pay.
見せて。 	 Let me see.
私にやらせて。 	 Let me try.
お祈りしましょう。 	 Let's pray.
さあ泳ごう。 	 Let's swim.
気楽にいけよ。 	 Lighten up.
私を見なさい。 	 Look at me.
心配するな。 	 Never mind!
何でもない。 	 Never mind!
問題ないよ。 	 No problem!
お安い御用ですよ。 	 No problem!
大丈夫ですよ。 	 No problem.
問題なし。 	 No problem.
もう一回。 	 Once again.
それ拾って。 	 Pick it up.
どうぞ召し上がってください。 	 Please eat.
お静かに。 	 Quiet down.
はい、チーズ。 	 Say cheese.
やって欲しいなら、頼めよ。 	 Say please.
彼女は微笑みました。 	 She smiled.
彼女は忙しい。 	 She's busy.
下がってろ！ 	 Stand back!
黙ってて。 	 Stay quiet.
そこにいて。 	 Stay there.
嘘はやめろ。 	 Stop lying.
バスに乗りなさい。 	 Take a bus.
話せよ！ 	 Talk to me!
よくやった！ 	 That a boy!
痛い。 	 That hurts.
それで結構です。 	 That'll do.
それが全てです。 	 That's all.
それは新しいです。 	 That's new.
さあ、着きましたよ。 	 This is it.
以上です。 	 This is it.
これだよ。 	 This is it.
これは効くわ。 	 This works.
時のたつのは早いものだ。 	 Time flies.
時間終了。 	 Time is up.
トムは賛成した。 	 Tom agreed.
トムはそれを食べた。 	 Tom ate it.
トムはお酒を飲む。 	 Tom drinks.
トムは失敗した。 	 Tom failed.
トムは喧嘩した。 	 Tom fought.
トムは手伝った。 	 Tom helped.
トムは狂ってる。 	 Tom is mad.
トムがいません。 	 Tom is out.
トムはジャンプした。 	 Tom jumped.
トムは頷いた。 	 Tom nodded.
トムはため息をついた。 	 Tom sighed.
トムはタバコを吸う。 	 Tom smokes.
トムは待っていた。 	 Tom waited.
トムはあくびした。 	 Tom yawned.
トムは忙しいんだ。 	 Tom's busy.
トムは死んだ。 	 Tom's died.
トムは弱い。 	 Tom's weak.
もう少し大きくして。 	 Turn it up.
ちょっと待ってて。 	 Wait a bit.
少しお待ちください。 	 Wait a bit.
ちょっと待って。 	 Wait a sec.
彼がトムだったの？ 	 Was he Tom?
私たちは男です。 	 We are men.
私たちは男です。 	 We're boys.
八方塞がりだ。 	 We're sunk.
それは何ですか。 	 What is it?
何か変わりはない？ 	 What's new?
何か変わったことある？ 	 What's new?
私はどこにいるの？ 	 Where am I?
ここどこ？ 	 Where am I?
誰がしたの？ 	 Who did it?
トムって誰？ 	 Who is Tom?
次は誰？ 	 Who's next?
どうして行かないの？ 	 Why not go?
木は燃えます。 	 Wood burns.
行ってもよろしい。 	 You can go.
やったね！ 	 You did it!
行ってもよろしい。 	 You may go.
まあ見てなよ。 	 You'll see.
おまえ、ワルだな。 	 You're bad.
あなたが勝った。 	 You've won.
万事よろしい。 	 All is well.
誰かケガした？ 	 Anyone hurt?
君、トムなの？ 	 Are you Tom?
暑いの？ 	 Are you hot?
新人さんなの？ 	 Are you new?
悲しいですか。 	 Are you sad?
誰にでもいいから訊いてみてください。 	 Ask anybody.
楽しくいこう。 	 Be cheerful.
時間に遅れないで。 	 Be punctual.
自分らしくあれ。 	 Be yourself.
始めていい？ 	 Can I begin?
トムと連絡を取りなさい。 	 Contact Tom.
私も仲間に入れて。 	 Count me in.
トムって泣いてたの？ 	 Did Tom cry?
トムは試したの？ 	 Did Tom try?
勝った？ 	 Did you win?
もう一度おやり。 	 Do it again!
後でやって。 	 Do it later.
ボウリングってする？ 	 Do you bowl?
釣りはしますか？ 	 Do you fish?
ズルをするなよ。 	 Don't cheat.
喧嘩すんな。 	 Don't fight.
笑わないで。 	 Don't laugh.
慌てる必要はありません！ 	 Don't panic!
撃たないで！ 	 Don't shoot!
怒鳴るなよ。 	 Don't shout.
じろじろ見るな。 	 Don't stare.
心配するな。 	 Don't worry.
気にすんなって。 	 Don't worry.
トムを許してやれよ。 	 Forgive Tom.
服を着替えなさい。 	 Get changed.
こっちに入って！ 	 Get in here!
仕事にかかれ！ 	 Get to work!
トムを手伝ってきて。 	 Go help Tom.
まっすぐ行け。 	 Go straight.
もう寝なさい。 	 Go to sleep.
彼は来る事が出来る。 	 He can come.
彼は来れるよ。 	 He can come.
彼は年老いた。 	 He grew old.
彼は腹が据わっている。 	 He has guts.
彼は８歳だ。 	 He is eight.
彼はひどく嫌われている。 	 He is hated.
彼は嘘を言っている。 	 He is lying.
彼は立ち上がりました。 	 He stood up.
彼はうそつきだ。 	 He's a liar.
彼は外出しています。 	 He's not in.
彼はばかだ。 	 He's stupid.
いま、行きます。 	 Here I come.
はい、着きました。 	 Here we are.
元気ですか。 	 How are you?
君はどうだい？ 	 How are you?
お元気ですか。 	 How are you?
私も行った。 	 I also went.
いま行くよ。 	 I am coming.
私の方が背が高い。 	 I am taller.
御免なさい。 	 I apologize.
めっちゃ食べた。 	 I ate a lot.
私ならできる。 	 I can do it.
運転できるよ。 	 I can drive.
私は食べれない。 	 I can't eat.
勝てない。 	 I can't win.
寒いなあ。 	 I feel cold.
気分爽快だよ。 	 I feel fine.
もう飽きたわ。 	 I got bored.
俺って、ツイてたよ。 	 I got lucky.
私は疲れた。 	 I got tired.
犬は大嫌い。 	 I hate dogs.
私は時間がある。 	 I have time.
青が好きだ。 	 I like blue.
私はケーキが好きだ。 	 I like cake.
無花果が好きなんだ。 	 I like figs.
私はジャズが好きです。 	 I like jazz.
私はロックが好きです。 	 I like rock.
私はこれが好きです。 	 I like this.
私は面目を失った。 	 I lost face.
僕は犬が大好きです。 	 I love dogs.
私は数学が大好きです。 	 I love math.
私はあなたが大好きだったの。 	 I loved you.
失敗した。 	 I messed up.
寝過ごしちゃった。 	 I overslept.
私はそう言いました。 	 I said that.
犬を見かけました。 	 I saw a dog.
ガスの臭いがする。 	 I smell gas.
俺、早口なんだ。 	 I talk fast.
私は彼を信頼している。 	 I trust him.
任せるよ。 	 I trust you.
私はメアリーが欲しいです。 	 I want Mary.
これが欲しい。 	 I want this.
仕事クビになった。 	 I was fired.
私って、運が良かったのよ。 	 I was lucky.
私ね、運に恵まれてたわ。 	 I was lucky.
私は疲れた。 	 I was tired.
私が間違っていました。 	 I was wrong.
私は家に帰りました。 	 I went home.
お手伝いしますよ。 	 I will help.
死ぬもんか。 	 I won't die.
出席します。 	 I'll attend.
私は後からついていきます。 	 I'll follow.
私が出ます。 	 I'll get it.
私は看護婦です。 	 I'm a nurse.
私はナースです。 	 I'm a nurse.
私は女性です。 	 I'm a woman.
私は家にいます。 	 I'm at home.
確かだよ。 	 I'm certain.
俺は気が小さい。 	 I'm chicken.
私は好奇心旺盛なのです。 	 I'm curious.
断食中です。 	 I'm fasting.
私は体は健康です。 	 I'm healthy.
私はついている。 	 I'm in luck.
冗談だよ。 	 I'm kidding.
今から行くよ。 	 I'm leaving.
緊張しています。 	 I'm nervous.
私は英雄などではない。 	 I'm no hero.
私、嘘つきじゃないもん。 	 I'm no liar.
悲しくなんかない。 	 I'm not sad.
僕は我慢強いたちだ。 	 I'm patient.
本気だよ。 	 I'm serious.
お腹がぺこぺこです。 	 I'm starved.
ものすごくお腹がすいている。 	 I'm starved.
めっちゃお腹すいた。 	 I'm starved.
もう満腹です。 	 I'm stuffed.
私がここの最高責任者です。 	 I'm the CEO.
喉が渇いた。 	 I'm thirsty.
喉がかわいた。 	 I'm thirsty.
閉じ込められてしまった。 	 I'm trapped.
俺って役立たずだな。 	 I'm useless.
トムは戻っていますか？ 	 Is Tom back?
トム、忙しいかな？ 	 Is Tom busy?
トムって、かっこいい？ 	 Is Tom cool?
トムは死んでるの？ 	 Is Tom dead?
トムっていいヤツ？ 	 Is Tom good?
トムいる？ 	 Is Tom here?
トムはけがしてるの？ 	 Is Tom hurt?
トムってバカ？ 	 Is Tom nuts?
トムは正気なんだろうか。 	 Is Tom sane?
トムは具合が悪いの？ 	 Is Tom sick?
トムは元気してる？ 	 Is Tom well?
彼は正しいですか。 	 Is he right?
これってきれいかな？ 	 Is it clean?
これって汚いかな？ 	 Is it dirty?
霧は出ていますか？ 	 Is it foggy?
風は強い？ 	 Is it windy?
あれはトムかな？ 	 Is that Tom?
話はそれだけ？ 	 Is that all?
これは芸術なの？ 	 Is this art?
それは30ドルする。 	 It cost $30.
それは僕のおごりだ。 	 It is on me.
雨になるかもしれないな。 	 It may rain.
雪が降るかもしれません。 	 It may snow.
寒かった。 	 It was cold.
暗かった。 	 It was dark.
そうなる運命だったんだよ。 	 It was fate.
それはフランス語よ。 	 It's French.
今日は月曜ですね。 	 It's Monday.
よし、それで手を打とう。 	 It's a deal.
冗談ですよ。 	 It's a joke.
それは壊れている。 	 It's broken.
曇っています。 	 It's cloudy.
鍵がかかっている。 	 It's locked.
それは私の仕事です。 	 It's my job.
それは秘密です。 	 It's secret.
大荒れだな。 	 It's stormy.
緊急です。 	 It's urgent.
とにかく起きろ。 	 Just get up.
トムにやらせてあげて。 	 Let Tom try.
手伝わさせて。 	 Let me help.
ご一報ください。 	 Let me know.
さあ、始めましょう。 	 Let's begin.
さあ踊ろう。 	 Let's dance.
急ぎましょう。 	 Let's hurry.
リラックスしよう。 	 Let's relax.
始めましょう。 	 Let's start!
人生は楽しい。 	 Life is fun.
彼を見て。 	 Look at him.
お昼ですよ。 	 Lunch is on.
願い事をして。 	 Make a wish.
どうもありがとう。 	 Many thanks.
入ってもよろしいですか。 	 May I enter?
煙草を吸ってもいいですか？ 	 May I smoke?
誰も来なかった。 	 No one came.
誰も死ななかった。 	 No one died.
誰一人来なかった。 	 Nobody came.
誰も知らなかった。 	 Nobody knew.
さあ、進んで、進んで。 	 Now move on.
またそんなこと言って。 	 Oh, come on.
日にちを選んで。 	 Pick a date.
歌ってください。 	 Please sing.
私のために祈ってて。 	 Pray for me.
トムを釈放しなさい。 	 Release Tom.
何も言うな。 	 Say nothing.
彼女は彼に噛みついた。 	 She bit him.
彼女は彼をぶった。 	 She hit him.
彼女はやさしい。 	 She is kind.
あの女は不細工だ。 	 She's a dog.
私は行くべきでしょうか。 	 Should I go?
白状しちゃえよ。 	 Spit it out.
じっとして！ 	 Stand still!
中にいなさい。 	 Stay inside.
もう一踏ん張り！ 	 Stick to it.
お風呂に入りなさい。 	 Take a bath.
お茶をお願いします。 	 Tea, please.
トムに「ダメ」と伝えて。 	 Tell Tom no.
うまくいった。 	 That worked.
無料です。 	 That's free.
それ、私の。 	 That's mine.
それでいいよ。 	 That's okay.
彼らは電話した。 	 They called.
彼らは笑った。 	 They smiled.
彼らは歩いた。 	 They walked.
